library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 15-12 C,,71.76470588235294,7,35,,,,,,,
CMYK,PANTONE P 15-13 C,,67.84313725490196,8,39,,,,,,,
CMYK,PANTONE P 15-14 C,,63.52941176470588,10,44,,,,,,,
CMYK,PANTONE P 15-15 C,,60.0,11,50,,,,,,,
CMYK,PANTONE P 15-16 C,,56.470588235294116,13,54,,,,,,,
CMYK,PANTONE P 16-1 C,,82.35294117647058,3,18,,,,,,,
CMYK,PANTONE P 16-2 C,,78.03921568627452,3,24,,,,,,,
CMYK,PANTONE P 16-3 C,,74.11764705882354,5,29,,,,,,,
CMYK,PANTONE P 16-4 C,,69.41176470588235,6,30,,,,,,,
CMYK,PANTONE P 16-5 C,,65.09803921568627,6,35,,,,,,,
CMYK,PANTONE P 16-6 C,,61.1764705882353,8,40,,,,,,,
CMYK,PANTONE P 16-7 C,,56.470588235294116,9,46,,,,,,,
CMYK,PANTONE P 16-8 C,,51.37254901960784,10,49,,,,,,,
CMYK,PANTONE P 16-9 C,,87.05882352941177,1,11,,,,,,,
CMYK,PANTONE P 16-10 C,,80.0,3,19,,,,,,,
CMYK,PANTONE P 16-11 C,,74.50980392156863,3,25,,,,,,,
CMYK,PANTONE P 16-12 C,,68.23529411764706,5,28,,,,,,,
CMYK,PANTONE P 16-13 C,,62.35294117647059,6,32,,,,,,,
CMYK,PANTONE P 16-14 C,,57.647058823529406,6,36,,,,,,,
CMYK,PANTONE P 16-15 C,,50.588235294117645,7,40,,,,,,,
CMYK,PANTONE P 16-16 C,,43.529411764705884,9,40,,,,,,,
CMYK,PANTONE P 17-1 C,,90.58823529411765,4,18,,,,,,,
CMYK,PANTONE P 17-2 C,,88.62745098039215,5,25,,,,,,,
CMYK,PANTONE P 17-3 C,,86.66666666666667,6,31,,,,,,,
CMYK,PANTONE P 17-4 C,,83.52941176470588,10,36,,,,,,,
CMYK,PANTONE P 17-5 C,,81.56862745098039,11,42,,,,,,,
CMYK,PANTONE P 17-6 C,,78.82352941176471,15,50,,,,,,,
CMYK,PANTONE P 17-7 C,,74.50980392156863,21,58,,,,,,,
CMYK,PANTONE P 17-8 C,,70.58823529411765,26,67,,,,,,,
CMYK,PANTONE P 17-9 C,,85.09803921568627,6,23,,,,,,,
CMYK,PANTONE P 17-10 C,,83.52941176470588,6,29,,,,,,,
CMYK,PANTONE P 17-11 C,,80.3921568627451,8,33,,,,,,,
CMYK,PANTONE P 17-12 C,,78.03921568627452,10,37,,,,,,,
CMYK,PANTONE P 17-13 C,,74.90196078431373,12,41,,,,,,,
CMYK,PANTONE P 17-14 C,,71.37254901960785,15,47,,,,,,,
CMYK,PANTONE P 17-15 C,,67.05882352941175,19,54,,,,,,,
CMYK,PANTONE P 17-16 C,,63.13725490196078,23,59,,,,,,,
CMYK,PANTONE P 18-1 C,,86.66666666666667,4,17,,,,,,,
CMYK,PANTONE P 18-2 C,,82.35294117647058,5,24,,,,,,,
CMYK,PANTONE P 18-3 C,,78.82352941176471,7,29,,,,,,,
CMYK,PANTONE P 18-4 C,,74.90196078431373,9,32,,,,,,,
CMYK,PANTONE P 18-5 C,,72.54901960784314,10,38,,,,,,,
CMYK,PANTONE P 18-6 C,,68.23529411764706,13,44,,,,,,,
CMYK,PANTONE P 18-7 C,,64.31372549019608,15,50,,,,,,,
CMYK,PANTONE P 18-8 C,,58.43137254901961,19,54,,,,,,,
CMYK,PANTONE P 18-9 C,,80.3921568627451,5,22,,,,,,,
CMYK,PANTONE P 18-10 C,,76.47058823529412,6,29,,,,,,,
CMYK,PANTONE P 18-11 C,,72.94117647058823,8,31,,,,,,,
CMYK,PANTONE P 18-12 C,,69.41176470588235,9,34,,,,,,,
CMYK,PANTONE P 18-13 C,,65.49019607843137,11,38,,,,,,,
CMYK,PANTONE P 18-14 C,,61.568627450980394,12,42,,,,,,,
CMYK,PANTONE P 18-15 C,,57.647058823529406,15,47,,,,,,,
CMYK,PANTONE P 18-16 C,,53.72549019607843,17,49,,,,,,,
CMYK,PANTONE P 19-1 C,,75.68627450980392,6,25,,,,,,,
CMYK,PANTONE P 19-2 C,,72.15686274509804,7,29,,,,,,,
CMYK,PANTONE P 19-3 C,,68.62745098039215,8,32,,,,,,,
CMYK,PANTONE P 19-4 C,,65.88235294117646,10,34,,,,,,,
CMYK,PANTONE P 19-5 C,,60.78431372549019,11,37,,,,,,,
CMYK,PANTONE P 19-6 C,,56.07843137254902,12,41,,,,,,,
CMYK,PANTONE P 19-7 C,,50.98039215686274,14,43,,,,,,,
CMYK,PANTONE P 19-8 C,,47.45098039215686,15,43,,,,,,,
CMYK,PANTONE P 19-9 C,,84.31372549019608,3,14,,,,,,,
CMYK,PANTONE P 19-10 C,,78.03921568627452,4,21,,,,,,,
CMYK,PANTONE P 19-11 C,,72.15686274509804,6,26,,,,,,,
CMYK,PANTONE P 19-12 C,,66.66666666666666,7,28,,,,,,,
